periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1197.5,0.0,1197.5,0.0,0.0,1197.5,0.0,-0.0,0,1.0000
2,Feb,1120.3,0.0,1111.9,0.0,0.0,1111.9,0.0,8.4,0,0.9925
3,Mar,1197.5,0.0,1197.5,0.0,0.0,1197.5,0.0,-0.0,0,1.0000
4,Apr,1158.9,0.0,1158.9,0.0,0.0,1158.9,0.0,-0.0,0,1.0000
5,Mei,1197.5,0.0,1197.6,0.0,0.0,1197.6,0.0,0.0,0,1.0000
6,Jun,1158.9,0.0,1159.2,0.0,0.0,1159.2,0.3,0.0,0,1.0000
7,Jul,1197.5,0.0,1198.2,0.0,0.0,1198.2,0.9,0.0,0,1.0000
8,Agu,1197.5,0.0,1226.9,0.0,0.0,1226.9,30.3,0.0,0,1.0000
9,Sep,1158.9,0.0,1160.0,0.0,0.0,1160.0,31.4,0.0,0,1.0000
10,Okt,1197.5,0.0,1198.2,0.0,0.0,1198.2,32.0,0.0,0,1.0000
11,Nov,1158.9,0.0,1002.7,0.0,0.0,1002.7,0.0,124.2,0,0.8929
12,Des,1197.5,0.0,670.8,0.0,0.0,670.8,0.0,526.7,0,0.5602
