periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1197.5,0.0,1197.5,0.0,0.0,1197.5,0.0,-0.0,0,1.0000
2,Feb,1120.3,0.0,1120.3,0.0,0.0,1120.3,0.0,-0.0,0,1.0000
3,Mar,1197.5,0.0,1197.5,0.0,0.0,1197.5,0.0,-0.0,0,1.0000
4,Apr,1158.9,1158.9,0.0,0.0,0.0,1158.9,0.0,-0.0,0,1.0000
5,Mei,1197.5,1197.5,0.0,0.0,0.0,1197.5,0.0,-0.0,0,1.0000
6,Jun,1158.9,0.0,1271.7,0.0,0.0,1271.7,112.8,0.0,0,1.0000
7,Jul,1197.5,0.0,1197.5,0.0,0.0,1197.5,112.8,0.0,0,1.0000
8,Agu,1197.5,0.0,1197.5,0.0,0.0,1197.5,112.8,0.0,0,1.0000
9,Sep,1158.9,1158.9,0.0,0.0,0.0,1158.9,112.8,0.0,0,1.0000
10,Okt,1197.5,0.0,2347.1,0.0,0.0,2347.1,1262.3,0.0,0,1.0000
11,Nov,1158.9,0.0,1158.9,0.0,0.0,1158.9,1262.3,0.0,0,1.0000
12,Des,1197.5,0.0,1477.7,0.0,0.0,1477.7,1542.4,0.0,1,1.0000
