periode_t,bulan,produsen_asal,volume_ton
8,Agu,Sumatera Utara,936.4
5,Mei,Riau,80.5
4,Apr,Jawa Barat,4037.8
5,Mei,Jawa Barat,2919.5
8,Agu,Jawa Barat,783.8
9,Sep,Jawa Barat,4132.4
4,Apr,DI Yogyakarta,452.0
5,Mei,DI Yogyakarta,1183.3
5,Mei,Bali,372.4
6,Jun,Nusa Tenggara Barat,369.4
8,Agu,Nusa Tenggara Barat,1134.7
9,Sep,Nusa Tenggara Barat,17.0
8,Agu,Nusa Tenggara Timur,118.3
9,Sep,Nusa Tenggara Timur,130.9
8,Agu,Sulawesi Tengah,1191.6
9,Sep,Sulawesi Tengah,1319.3
8,Agu,Sulawesi Selatan,449.4
9,Sep,Sulawesi Selatan,497.6
4,Apr,Sulawesi Tenggara,1657.9
5,Mei,Sulawesi Tenggara,1796.1
8,Agu,Sulawesi Barat,59.6
9,Sep,Sulawesi Barat,66.0
4,Apr,Maluku Utara,15.5
5,Mei,Maluku Utara,16.8
