periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,6368.6,44.0,10555.6,0.0,0.0,10599.5,4230.9,0.0,0,1.0000
2,Feb,5957.8,61.5,5913.0,0.0,0.0,5974.5,4247.7,0.0,0,1.0000
3,Mar,6368.6,158.2,6368.6,0.0,0.0,6526.9,4405.9,0.0,0,1.0000
4,Apr,6163.2,316.5,6163.2,0.0,0.0,6479.7,4722.3,0.0,0,1.0000
5,Mei,6368.6,342.8,9680.3,0.0,0.0,10023.2,8376.9,0.0,1,1.0000
6,Jun,6163.2,202.2,6164.5,0.0,0.0,6366.7,8580.4,0.0,1,1.0000
7,Jul,6368.6,131.9,8929.9,0.0,0.0,9061.8,11273.5,0.0,1,1.0000
8,Agu,6368.6,246.1,6524.7,0.0,0.0,6770.9,11675.8,0.0,1,1.0000
9,Sep,6163.2,272.5,6163.2,0.0,0.0,6435.7,11948.3,0.0,1,1.0000
10,Okt,6368.6,158.2,6371.1,0.0,0.0,6529.4,12109.0,0.0,1,1.0000
11,Nov,6163.2,87.9,5329.9,0.0,0.0,5417.8,11363.6,0.0,1,1.0000
12,Des,6368.6,87.9,3567.5,0.0,0.0,3655.4,8650.3,0.0,1,1.0000
