periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,6368.6,0.0,9944.9,0.0,0.0,9944.9,3576.2,0.0,0,1.0000
2,Feb,5957.8,0.0,5957.8,0.0,0.0,5957.8,3576.2,0.0,0,1.0000
3,Mar,6368.6,0.0,6368.6,0.0,0.0,6368.6,3576.2,0.0,0,1.0000
4,Apr,6163.2,6163.2,0.0,0.0,0.0,6163.2,3576.2,0.0,0,1.0000
5,Mei,6368.6,6368.6,0.0,0.0,0.0,6368.6,3576.2,0.0,0,1.0000
6,Jun,6163.2,369.4,5793.8,0.0,0.0,6163.2,3576.2,0.0,0,1.0000
7,Jul,6368.6,0.0,6368.6,0.0,0.0,6368.6,3576.2,0.0,0,1.0000
8,Agu,6368.6,4673.8,1694.8,0.0,0.0,6368.6,3576.2,0.0,0,1.0000
9,Sep,6163.2,6163.2,0.0,0.0,0.0,6163.2,3576.2,0.0,0,1.0000
10,Okt,6368.6,0.0,6368.6,0.0,0.0,6368.6,3576.2,0.0,0,1.0000
11,Nov,6163.2,0.0,6163.2,0.0,0.0,6163.2,3576.2,0.0,0,1.0000
12,Des,6368.6,0.0,6368.6,0.0,0.0,6368.6,3576.2,0.0,0,1.0000
