periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,274.0,2.2,318.7,0.0,0.0,320.8,46.8,0.0,0,1.0000
2,Feb,256.3,3.0,254.4,0.0,0.0,257.4,47.9,0.0,0,1.0000
3,Mar,274.0,7.8,355.9,0.0,0.0,363.6,137.6,0.0,0,1.0000
4,Apr,265.1,15.5,379.6,0.0,0.0,395.2,267.6,0.0,0,1.0000
5,Mei,274.0,16.8,284.8,0.0,0.0,301.6,295.2,0.0,0,1.0000
6,Jun,265.1,9.9,426.8,0.0,0.0,436.8,466.9,0.0,1,1.0000
7,Jul,274.0,6.5,310.2,0.0,0.0,316.6,509.5,0.0,1,1.0000
8,Agu,274.0,12.1,292.7,0.0,0.0,304.8,540.3,0.0,1,1.0000
9,Sep,265.1,13.4,448.3,0.0,0.0,461.7,736.8,0.0,1,1.0000
10,Okt,274.0,7.8,320.9,0.0,0.0,328.6,791.5,0.0,1,1.0000
11,Nov,265.1,4.3,235.2,0.0,0.0,239.5,765.9,0.0,1,1.0000
12,Des,274.0,4.3,153.6,0.0,0.0,157.9,649.8,0.0,1,1.0000
