periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,274.0,0.0,274.0,0.0,0.0,274.0,0.0,-0.0,0,1.0000
2,Feb,256.3,0.0,256.3,0.0,0.0,256.3,0.0,-0.0,0,1.0000
3,Mar,274.0,0.0,274.0,0.0,0.0,274.0,0.0,-0.0,0,1.0000
4,Apr,265.1,0.0,265.1,0.0,0.0,265.1,0.0,-0.0,0,1.0000
5,Mei,274.0,0.0,274.0,0.0,0.0,274.0,0.0,-0.0,0,1.0000
6,Jun,265.1,0.0,291.8,0.0,0.0,291.8,26.7,0.0,0,1.0000
7,Jul,274.0,0.0,274.0,0.0,0.0,274.0,26.7,0.0,0,1.0000
8,Agu,274.0,0.0,274.0,0.0,0.0,274.0,26.7,0.0,0,1.0000
9,Sep,265.1,0.0,265.1,0.0,0.0,265.1,26.7,0.0,0,1.0000
10,Okt,274.0,0.0,275.2,0.0,0.0,275.2,27.9,0.0,0,1.0000
11,Nov,265.1,0.0,265.1,0.0,0.0,265.1,27.9,0.0,0,1.0000
12,Des,274.0,0.0,278.3,0.0,0.0,278.3,32.2,0.0,0,1.0000
