periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,3361.2,202.6,3622.3,0.0,0.0,3825.0,463.8,0.0,0,1.0000
2,Feb,3134.6,283.7,3111.0,0.0,0.0,3394.7,724.0,0.0,0,1.0000
3,Mar,3364.7,729.5,4370.2,0.0,0.0,5099.7,2459.0,0.0,0,1.0000
4,Apr,3314.2,1459.0,4745.1,0.0,0.0,6204.1,5348.9,0.0,1,1.0000
5,Mei,3371.4,1580.5,5124.5,0.0,0.0,6705.1,8682.6,0.0,1,1.0000
6,Jun,3242.8,932.1,5814.7,0.0,0.0,6746.8,12186.6,0.0,1,1.0000
7,Jul,3414.2,537.0,4228.7,0.0,0.0,4765.7,13538.1,0.0,1,1.0000
8,Agu,3454.8,776.7,2525.9,0.0,0.0,3302.6,13385.9,0.0,1,1.0000
9,Sep,3244.7,602.5,3921.5,0.0,0.0,4524.0,14665.2,0.0,1,1.0000
10,Okt,3385.1,328.2,1766.7,0.0,0.0,2094.9,13375.1,0.0,1,1.0000
11,Nov,3253.8,401.0,2856.0,0.0,0.0,3256.9,13378.2,0.0,1,1.0000
12,Des,3377.1,405.3,1893.4,0.0,0.0,2298.6,12299.7,0.0,1,1.0000
