periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,3361.2,202.6,10406.1,0.0,0.0,10608.7,7247.5,0.0,1,1.0000
2,Feb,3134.6,0.0,3134.6,0.0,0.0,3134.6,7247.5,0.0,1,1.0000
3,Mar,3364.7,0.0,3364.7,0.0,0.0,3364.7,7247.5,0.0,1,1.0000
4,Apr,3314.2,0.0,3314.2,0.0,0.0,3314.2,7247.5,0.0,1,1.0000
5,Mei,3371.4,0.0,3371.4,0.0,0.0,3371.4,7247.5,0.0,1,1.0000
6,Jun,3242.8,0.0,3916.3,0.0,0.0,3916.3,7921.0,0.0,1,1.0000
7,Jul,3414.2,0.0,3414.2,0.0,0.0,3414.2,7921.0,0.0,1,1.0000
8,Agu,3454.8,0.0,3455.1,0.0,0.0,3455.1,7921.4,0.0,1,1.0000
9,Sep,3244.7,0.0,3244.6,0.0,0.0,3244.6,7921.4,0.0,1,1.0000
10,Okt,3385.1,0.0,6355.1,0.0,0.0,6355.1,10891.4,0.0,1,1.0000
11,Nov,3253.8,0.0,3378.1,0.0,0.0,3378.1,11015.7,0.0,1,1.0000
12,Des,3377.1,0.0,3820.7,0.0,0.0,3820.7,11459.3,0.0,1,1.0000
