periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,296.0,21.1,490.6,0.0,0.0,511.7,215.7,0.0,0,1.0000
2,Feb,391.5,29.6,388.6,0.0,0.0,418.1,242.3,0.0,0,1.0000
3,Mar,399.9,76.0,519.5,0.0,0.0,595.5,437.9,0.0,1,1.0000
4,Apr,287.5,143.8,411.7,0.0,0.0,555.4,705.8,0.0,1,1.0000
5,Mei,183.5,91.8,279.0,0.0,0.0,370.8,893.0,0.0,1,1.0000
6,Jun,104.5,40.2,144.0,0.0,0.0,184.2,972.6,0.0,1,1.0000
7,Jul,261.3,38.6,223.3,0.0,0.0,262.0,973.3,0.0,1,1.0000
8,Agu,476.8,89.8,386.9,0.0,0.0,476.8,973.2,0.0,1,1.0000
9,Sep,132.6,28.0,141.3,0.0,0.0,169.3,1010.0,0.0,1,1.0000
10,Okt,98.7,15.3,35.9,0.0,0.0,51.2,962.4,0.0,1,1.0000
11,Nov,81.8,29.4,52.2,0.0,0.0,81.7,962.3,0.0,1,1.0000
12,Des,168.8,42.2,94.7,0.0,0.0,136.9,930.4,0.0,1,1.0000
