periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,296.0,21.1,767.4,0.0,0.0,788.5,492.5,0.0,1,1.0000
2,Feb,391.5,0.0,391.5,0.0,0.0,391.5,492.5,0.0,1,1.0000
3,Mar,399.9,0.0,399.9,0.0,0.0,399.9,492.5,0.0,1,1.0000
4,Apr,287.5,0.0,287.5,0.0,0.0,287.5,492.5,0.0,1,1.0000
5,Mei,183.5,0.0,183.5,0.0,0.0,183.5,492.5,0.0,1,1.0000
6,Jun,104.5,0.0,126.3,0.0,0.0,126.3,514.2,0.0,1,1.0000
7,Jul,261.3,0.0,261.3,0.0,0.0,261.3,514.2,0.0,1,1.0000
8,Agu,476.8,0.0,476.9,0.0,0.0,476.9,514.3,0.0,1,1.0000
9,Sep,132.6,0.0,132.6,0.0,0.0,132.6,514.3,0.0,1,1.0000
10,Okt,98.7,0.0,185.4,0.0,0.0,185.4,600.9,0.0,1,1.0000
11,Nov,81.8,0.0,84.9,0.0,0.0,84.9,604.0,0.0,1,1.0000
12,Des,168.8,0.0,191.0,0.0,0.0,191.0,626.2,0.0,1,1.0000
