periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,5.1,0.0,8.5,0.0,0.0,8.5,3.4,0.0,0,1.0000
2,Feb,4.9,0.0,4.9,0.0,0.0,4.9,3.3,0.0,0,1.0000
3,Mar,5.0,0.0,6.4,0.0,0.0,6.4,4.8,0.0,0,1.0000
4,Apr,5.0,0.0,7.1,0.0,0.0,7.1,6.9,0.0,1,1.0000
5,Mei,5.0,0.0,7.5,0.0,0.0,7.5,9.5,0.0,1,1.0000
6,Jun,4.9,0.0,8.8,0.0,0.0,8.8,13.4,0.0,1,1.0000
7,Jul,5.0,0.0,6.9,0.0,0.0,6.9,15.4,0.0,1,1.0000
8,Agu,5.0,0.0,5.3,0.0,0.0,5.3,15.8,0.0,1,1.0000
9,Sep,4.9,0.0,12.4,0.0,0.0,12.4,23.3,0.0,1,1.0000
10,Okt,5.0,0.0,1.6,0.0,0.0,1.6,19.9,0.0,1,1.0000
11,Nov,4.9,0.0,4.4,0.0,0.0,4.4,19.3,0.0,1,1.0000
12,Des,5.0,0.0,2.8,0.0,0.0,2.8,17.2,0.0,1,1.0000
