periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,5.1,0.0,15.6,0.0,0.0,15.6,10.5,0.0,1,1.0000
2,Feb,4.9,0.0,4.9,0.0,0.0,4.9,10.5,0.0,1,1.0000
3,Mar,5.0,0.0,5.0,0.0,0.0,5.0,10.5,0.0,1,1.0000
4,Apr,5.0,0.0,5.0,0.0,0.0,5.0,10.5,0.0,1,1.0000
5,Mei,5.0,0.0,5.0,0.0,0.0,5.0,10.5,0.0,1,1.0000
6,Jun,4.9,0.0,6.0,0.0,0.0,6.0,11.5,0.0,1,1.0000
7,Jul,5.0,0.0,5.0,0.0,0.0,5.0,11.5,0.0,1,1.0000
8,Agu,5.0,0.0,5.0,0.0,0.0,5.0,11.5,0.0,1,1.0000
9,Sep,4.9,0.0,4.9,0.0,0.0,4.9,11.5,0.0,1,1.0000
10,Okt,5.0,0.0,13.3,0.0,0.0,13.3,19.8,0.0,1,1.0000
11,Nov,4.9,0.0,0.0,0.0,0.0,0.0,14.9,0.0,1,1.0000
12,Des,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1,1.0000
