periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,10.6,0.0,17.5,0.0,0.0,17.5,6.9,0.0,0,1.0000
2,Feb,10.3,0.0,10.2,0.0,0.0,10.2,6.9,0.0,0,1.0000
3,Mar,10.7,0.0,13.9,0.0,0.0,13.9,10.1,0.0,0,1.0000
4,Apr,11.4,0.0,16.4,0.0,0.0,16.4,15.0,0.0,1,1.0000
5,Mei,11.7,0.0,17.7,0.0,0.0,17.7,21.1,0.0,1,1.0000
6,Jun,11.2,0.0,15.5,0.0,0.0,15.5,25.3,0.0,1,1.0000
7,Jul,11.5,0.0,16.1,0.0,0.0,16.1,29.9,0.0,1,1.0000
8,Agu,11.5,0.0,12.3,0.0,0.0,12.3,30.7,0.0,1,1.0000
9,Sep,11.2,0.0,19.0,0.0,0.0,19.0,38.5,0.0,1,1.0000
10,Okt,11.3,0.0,13.2,0.0,0.0,13.2,40.4,0.0,1,1.0000
11,Nov,10.9,0.0,9.7,0.0,0.0,9.7,39.2,0.0,1,1.0000
12,Des,4.1,0.0,2.3,0.0,0.0,2.3,37.4,0.0,1,1.0000
