periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,10.6,0.0,31.1,0.0,0.0,31.1,20.6,0.0,1,1.0000
2,Feb,10.3,0.0,10.3,0.0,0.0,10.3,20.6,0.0,1,1.0000
3,Mar,10.7,0.0,10.7,0.0,0.0,10.7,20.6,0.0,1,1.0000
4,Apr,11.4,0.0,11.4,0.0,0.0,11.4,20.6,0.0,1,1.0000
5,Mei,11.7,0.0,11.7,0.0,0.0,11.7,20.6,0.0,1,1.0000
6,Jun,11.2,0.0,13.6,0.0,0.0,13.6,22.9,0.0,1,1.0000
7,Jul,11.5,0.0,11.5,0.0,0.0,11.5,22.9,0.0,1,1.0000
8,Agu,11.5,0.0,11.5,0.0,0.0,11.5,22.9,0.0,1,1.0000
9,Sep,11.2,0.0,11.2,0.0,0.0,11.2,22.9,0.0,1,1.0000
10,Okt,11.3,0.0,30.5,0.0,0.0,30.5,42.1,0.0,1,1.0000
11,Nov,10.9,0.0,0.0,0.0,0.0,0.0,31.2,0.0,1,1.0000
12,Des,4.1,0.0,0.0,0.0,0.0,0.0,27.1,0.0,1,1.0000
