periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,0.6,0.0,1.8,0.0,0.0,1.8,1.2,0.0,1,1.0000
2,Feb,0.5,0.0,0.5,0.0,0.0,0.5,1.2,0.0,1,1.0000
3,Mar,0.6,0.0,0.6,0.0,0.0,0.6,1.2,0.0,1,1.0000
4,Apr,0.6,0.0,0.6,0.0,0.0,0.6,1.2,0.0,1,1.0000
5,Mei,0.6,0.0,0.6,0.0,0.0,0.6,1.2,0.0,1,1.0000
6,Jun,0.6,0.0,0.7,0.0,0.0,0.7,1.3,0.0,1,1.0000
7,Jul,0.6,0.0,0.6,0.0,0.0,0.6,1.3,0.0,1,1.0000
8,Agu,0.6,0.0,1.2,0.0,0.0,1.2,1.9,0.0,1,1.0000
9,Sep,0.6,0.0,0.6,0.0,0.0,0.6,1.9,0.0,1,1.0000
10,Okt,0.6,0.0,1.1,0.0,0.0,1.1,2.4,0.0,1,1.0000
11,Nov,0.6,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1,1.0000
12,Des,0.6,0.0,0.1,0.0,0.0,0.1,1.3,0.0,1,1.0000
