periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,10316.0,10.3,10316.0,0.0,0.0,10326.3,10.3,0.0,0,1.0000
2,Feb,9650.4,14.4,9577.9,0.0,0.0,9592.4,0.0,47.7,0,0.9951
3,Mar,10316.0,37.1,10316.0,0.0,0.0,10353.1,37.1,0.0,0,1.0000
4,Apr,9983.2,74.3,9983.2,0.0,0.0,10057.5,111.4,0.0,0,1.0000
5,Mei,10316.0,80.5,10316.2,0.0,0.0,10396.6,192.1,0.0,0,1.0000
6,Jun,9983.2,47.5,9985.3,0.0,0.0,10032.8,241.6,0.0,0,1.0000
7,Jul,10316.0,30.9,10321.3,0.0,0.0,10352.2,277.9,0.0,0,1.0000
8,Agu,10316.0,57.8,13209.9,0.0,0.0,13267.7,3229.6,0.0,0,1.0000
9,Sep,9983.2,64.0,9992.0,0.0,0.0,10056.0,3302.4,0.0,0,1.0000
10,Okt,10316.0,37.1,10321.3,0.0,0.0,10358.4,3344.8,0.0,0,1.0000
11,Nov,9983.2,20.6,8637.3,0.0,0.0,8657.9,2019.5,0.0,0,1.0000
12,Des,10316.0,20.6,5778.7,0.0,0.0,5799.4,0.0,2497.1,0,0.7579
