periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,10316.0,796.4,14314.8,0.0,0.0,15111.2,4795.2,0.0,0,1.0000
2,Feb,9650.4,6943.3,2707.1,0.0,0.0,9650.4,4795.2,0.0,0,1.0000
3,Mar,10316.0,10316.0,0.0,0.0,0.0,10316.0,4795.2,0.0,0,1.0000
4,Apr,9983.2,9983.2,0.0,0.0,0.0,9983.2,4795.2,0.0,0,1.0000
5,Mei,10316.0,10316.0,0.0,0.0,0.0,10316.0,4795.2,0.0,0,1.0000
6,Jun,9983.2,9983.2,0.0,0.0,0.0,9983.2,4795.2,0.0,0,1.0000
7,Jul,10316.0,10316.0,0.0,0.0,0.0,10316.0,4795.2,0.0,0,1.0000
8,Agu,10316.0,10316.0,0.0,0.0,0.0,10316.0,4795.2,0.0,0,1.0000
9,Sep,9983.2,9983.2,0.0,0.0,0.0,9983.2,4795.2,0.0,0,1.0000
10,Okt,10316.0,10316.0,0.0,0.0,0.0,10316.0,4795.2,0.0,0,1.0000
11,Nov,9983.2,9983.2,0.0,0.0,0.0,9983.2,4795.2,0.0,0,1.0000
12,Des,10316.0,10008.8,1115.1,0.0,0.0,11123.8,5603.0,0.0,0,1.0000
