periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1363.8,10.7,1586.3,0.0,0.0,1596.9,233.1,0.0,0,1.0000
2,Feb,1232.0,14.9,1222.7,0.0,0.0,1237.6,238.7,0.0,0,1.0000
3,Mar,1363.8,38.3,1771.4,0.0,0.0,1809.7,684.7,0.0,0,1.0000
4,Apr,1319.9,76.7,1888.7,0.0,0.0,1965.4,1330.2,0.0,0,1.0000
5,Mei,1363.8,83.1,1417.6,0.0,0.0,1500.7,1467.0,0.0,0,1.0000
6,Jun,1319.9,49.0,2124.8,0.0,0.0,2173.8,2321.0,0.0,1,1.0000
7,Jul,1363.8,32.0,1543.9,0.0,0.0,1575.9,2533.1,0.0,1,1.0000
8,Agu,1363.4,59.6,1456.4,0.0,0.0,1516.1,2685.7,0.0,1,1.0000
9,Sep,1319.5,66.0,2231.0,0.0,0.0,2297.0,3663.3,0.0,1,1.0000
10,Okt,1362.8,38.3,1596.0,0.0,0.0,1634.3,3934.7,0.0,1,1.0000
11,Nov,1318.9,21.3,1170.1,0.0,0.0,1191.4,3807.2,0.0,1,1.0000
12,Des,1362.8,21.3,764.1,0.0,0.0,785.4,3229.8,0.0,1,1.0000
