periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1363.8,10.7,1593.4,0.0,0.0,1604.0,240.2,0.0,0,1.0000
2,Feb,1232.0,0.0,1232.0,0.0,0.0,1232.0,240.2,0.0,0,1.0000
3,Mar,1363.8,0.0,1363.8,0.0,0.0,1363.8,240.2,0.0,0,1.0000
4,Apr,1319.9,0.0,1319.9,0.0,0.0,1319.9,240.2,0.0,0,1.0000
5,Mei,1363.8,0.0,1363.8,0.0,0.0,1363.8,240.2,0.0,0,1.0000
6,Jun,1319.9,0.0,1452.7,0.0,0.0,1452.7,373.0,0.0,0,1.0000
7,Jul,1363.8,0.0,1363.8,0.0,0.0,1363.8,373.0,0.0,0,1.0000
8,Agu,1363.4,0.0,1363.6,0.0,0.0,1363.6,373.2,0.0,0,1.0000
9,Sep,1319.5,0.0,1319.5,0.0,0.0,1319.5,373.2,0.0,0,1.0000
10,Okt,1362.8,0.0,1366.7,0.0,0.0,1366.7,377.0,0.0,0,1.0000
11,Nov,1318.9,0.0,1318.9,0.0,0.0,1318.9,377.0,0.0,0,1.0000
12,Des,1362.8,0.0,1541.8,0.0,0.0,1541.8,556.0,0.0,0,1.0000
