periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,9.7,4.9,16.1,0.0,0.0,21.0,11.3,0.0,0,1.0000
2,Feb,25.1,12.6,25.0,0.0,0.0,37.5,23.6,0.0,1,1.0000
3,Mar,7.7,3.8,10.0,0.0,0.0,13.8,29.8,0.0,1,1.0000
4,Apr,30.0,12.6,36.0,0.0,0.0,48.5,48.3,0.0,1,1.0000
5,Mei,12.4,3.1,9.3,0.0,0.0,12.4,48.3,0.0,1,1.0000
6,Jun,8.4,2.0,7.0,0.0,0.0,9.0,48.8,0.0,1,1.0000
7,Jul,3.5,0.8,2.2,0.0,0.0,3.0,48.4,0.0,1,1.0000
8,Agu,6.5,2.1,4.4,0.0,0.0,6.5,48.4,0.0,1,1.0000
9,Sep,5.2,1.2,6.0,0.0,0.0,7.1,50.3,0.0,1,1.0000
10,Okt,13.9,3.6,8.5,0.0,0.0,12.2,48.6,0.0,1,1.0000
11,Nov,9.1,3.2,5.7,0.0,0.0,8.9,48.4,0.0,1,1.0000
12,Des,13.2,6.2,6.9,0.0,0.0,13.1,48.2,0.0,1,1.0000
