periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,9.7,4.9,25.2,0.0,0.0,30.1,20.3,0.0,1,1.0000
2,Feb,25.1,0.0,25.2,0.0,0.0,25.2,20.3,0.0,1,1.0000
3,Mar,7.7,0.0,7.7,0.0,0.0,7.7,20.3,0.0,1,1.0000
4,Apr,30.0,0.0,30.0,0.0,0.0,30.0,20.3,0.0,1,1.0000
5,Mei,12.4,0.0,12.4,0.0,0.0,12.4,20.3,0.0,1,1.0000
6,Jun,8.4,0.0,10.2,0.0,0.0,10.2,22.1,0.0,1,1.0000
7,Jul,3.5,0.0,3.5,0.0,0.0,3.5,22.1,0.0,1,1.0000
8,Agu,6.5,0.0,6.5,0.0,0.0,6.5,22.1,0.0,1,1.0000
9,Sep,5.2,0.0,5.2,0.0,0.0,5.2,22.1,0.0,1,1.0000
10,Okt,13.9,0.0,14.0,0.0,0.0,14.0,22.1,0.0,1,1.0000
11,Nov,9.1,0.0,9.4,0.0,0.0,9.4,22.5,0.0,1,1.0000
12,Des,13.2,0.0,13.2,0.0,0.0,13.2,22.5,0.0,1,1.0000
