periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,13.4,6.7,22.2,0.0,0.0,28.9,15.5,0.0,1,1.0000
2,Feb,5.1,2.5,5.1,0.0,0.0,7.6,18.0,0.0,1,1.0000
3,Mar,5.7,2.8,7.4,0.0,0.0,10.2,22.5,0.0,1,1.0000
4,Apr,18.9,9.5,27.1,0.0,0.0,36.5,40.2,0.0,1,1.0000
5,Mei,21.9,7.8,23.6,0.0,0.0,31.3,49.6,0.0,1,1.0000
6,Jun,19.3,4.5,16.1,0.0,0.0,20.5,50.9,0.0,1,1.0000
7,Jul,3.2,0.5,1.5,0.0,0.0,2.0,49.7,0.0,1,1.0000
8,Agu,3.8,1.2,2.6,0.0,0.0,3.7,49.7,0.0,1,1.0000
9,Sep,3.8,0.9,4.4,0.0,0.0,5.3,51.1,0.0,1,1.0000
10,Okt,32.1,9.4,22.0,0.0,0.0,31.4,50.4,0.0,1,1.0000
11,Nov,6.8,2.2,3.9,0.0,0.0,6.1,49.7,0.0,1,1.0000
12,Des,14.8,6.9,7.8,0.0,0.0,14.7,49.6,0.0,1,1.0000
