periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,13.4,6.7,34.7,0.0,0.0,41.4,28.0,0.0,1,1.0000
2,Feb,5.1,0.0,5.1,0.0,0.0,5.1,28.0,0.0,1,1.0000
3,Mar,5.7,0.0,5.7,0.0,0.0,5.7,28.0,0.0,1,1.0000
4,Apr,18.9,0.0,18.9,0.0,0.0,18.9,28.0,0.0,1,1.0000
5,Mei,21.9,0.0,21.9,0.0,0.0,21.9,28.0,0.0,1,1.0000
6,Jun,19.3,0.0,23.3,0.0,0.0,23.3,32.0,0.0,1,1.0000
7,Jul,3.2,0.0,3.2,0.0,0.0,3.2,32.0,0.0,1,1.0000
8,Agu,3.8,0.0,3.8,0.0,0.0,3.8,32.0,0.0,1,1.0000
9,Sep,3.8,0.0,3.8,0.0,0.0,3.8,32.0,0.0,1,1.0000
10,Okt,32.1,0.0,32.2,0.0,0.0,32.2,32.1,0.0,1,1.0000
11,Nov,6.8,0.0,7.1,0.0,0.0,7.1,32.4,0.0,1,1.0000
12,Des,14.8,0.0,14.8,0.0,0.0,14.8,32.4,0.0,1,1.0000
