periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,932.9,230.3,1546.1,0.0,0.0,1776.4,843.5,0.0,0,1.0000
2,Feb,868.8,322.4,862.3,0.0,0.0,1184.6,1159.4,0.0,1,1.0000
3,Mar,928.1,464.1,1205.5,0.0,0.0,1669.6,1900.8,0.0,1,1.0000
4,Apr,897.7,448.9,1285.4,0.0,0.0,1734.2,2737.3,0.0,1,1.0000
5,Mei,927.7,457.7,1391.5,0.0,0.0,1849.2,3658.9,0.0,1,1.0000
6,Jun,897.7,208.5,747.7,0.0,0.0,956.2,3717.4,0.0,1,1.0000
7,Jul,927.6,237.6,666.3,0.0,0.0,903.9,3693.6,0.0,1,1.0000
8,Agu,929.1,290.8,621.4,0.0,0.0,912.2,3676.6,0.0,1,1.0000
9,Sep,898.4,204.7,1031.7,0.0,0.0,1236.4,4014.6,0.0,1,1.0000
10,Okt,932.3,176.8,414.1,0.0,0.0,590.9,3673.2,0.0,1,1.0000
11,Nov,899.3,323.6,574.1,0.0,0.0,897.7,3671.5,0.0,1,1.0000
12,Des,931.2,429.9,487.3,0.0,0.0,917.2,3657.5,0.0,1,1.0000
