periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,932.9,230.3,2418.5,0.0,0.0,2648.8,1715.9,0.0,1,1.0000
2,Feb,868.8,0.0,868.8,0.0,0.0,868.8,1715.9,0.0,1,1.0000
3,Mar,928.1,0.0,928.1,0.0,0.0,928.1,1715.9,0.0,1,1.0000
4,Apr,897.7,0.0,897.7,0.0,0.0,897.7,1715.9,0.0,1,1.0000
5,Mei,927.7,0.0,927.7,0.0,0.0,927.7,1715.9,0.0,1,1.0000
6,Jun,897.7,0.0,1084.2,0.0,0.0,1084.2,1902.4,0.0,1,1.0000
7,Jul,927.6,0.0,927.6,0.0,0.0,927.6,1902.4,0.0,1,1.0000
8,Agu,929.1,0.0,929.2,0.0,0.0,929.2,1902.5,0.0,1,1.0000
9,Sep,898.4,0.0,898.4,0.0,0.0,898.4,1902.5,0.0,1,1.0000
10,Okt,932.3,0.0,934.9,0.0,0.0,934.9,1905.1,0.0,1,1.0000
11,Nov,899.3,0.0,933.7,0.0,0.0,933.7,1939.4,0.0,1,1.0000
12,Des,931.2,0.0,931.4,0.0,0.0,931.4,1939.6,0.0,1,1.0000
