periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,16.6,0.0,27.4,0.0,0.0,27.4,10.9,0.0,0,1.0000
2,Feb,18.4,0.0,18.3,0.0,0.0,18.3,10.7,0.0,0,1.0000
3,Mar,16.6,0.0,21.5,0.0,0.0,21.5,15.7,0.0,0,1.0000
4,Apr,18.5,0.0,18.5,0.0,0.0,18.5,15.7,0.0,0,1.0000
5,Mei,16.6,0.0,25.2,0.0,0.0,25.2,24.3,0.0,1,1.0000
6,Jun,17.5,0.0,24.2,0.0,0.0,24.2,30.9,0.0,1,1.0000
7,Jul,18.6,0.0,26.0,0.0,0.0,26.0,38.4,0.0,1,1.0000
8,Agu,18.6,0.0,19.8,0.0,0.0,19.8,39.7,0.0,1,1.0000
9,Sep,16.5,0.0,27.9,0.0,0.0,27.9,51.1,0.0,1,1.0000
10,Okt,18.6,0.0,21.7,0.0,0.0,21.7,54.2,0.0,1,1.0000
11,Nov,21.5,0.0,19.1,0.0,0.0,19.1,51.8,0.0,1,1.0000
12,Des,20.6,0.0,11.5,0.0,0.0,11.5,42.8,0.0,1,1.0000
