periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,16.6,0.0,42.9,0.0,0.0,42.9,26.4,0.0,1,1.0000
2,Feb,18.4,0.0,18.4,0.0,0.0,18.4,26.4,0.0,1,1.0000
3,Mar,16.6,0.0,16.6,0.0,0.0,16.6,26.4,0.0,1,1.0000
4,Apr,18.5,0.0,18.5,0.0,0.0,18.5,26.4,0.0,1,1.0000
5,Mei,16.6,0.0,16.6,0.0,0.0,16.6,26.4,0.0,1,1.0000
6,Jun,17.5,0.0,21.1,0.0,0.0,21.1,30.0,0.0,1,1.0000
7,Jul,18.6,0.0,18.6,0.0,0.0,18.6,30.0,0.0,1,1.0000
8,Agu,18.6,0.0,18.6,0.0,0.0,18.6,30.0,0.0,1,1.0000
9,Sep,16.5,0.0,16.5,0.0,0.0,16.5,30.0,0.0,1,1.0000
10,Okt,18.6,0.0,18.6,0.0,0.0,18.6,30.0,0.0,1,1.0000
11,Nov,21.5,0.0,22.3,0.0,0.0,22.3,30.9,0.0,1,1.0000
12,Des,20.6,0.0,16.4,0.0,0.0,16.4,26.7,0.0,1,1.0000
