periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,2.8,0.0,3.8,0.0,0.0,3.8,1.1,0.0,0,1.0000
2,Feb,2.6,0.0,2.6,0.0,0.0,2.6,1.0,0.0,0,1.0000
3,Mar,2.8,0.0,5.6,0.0,0.0,5.6,3.8,0.0,1,1.0000
4,Apr,2.7,0.0,2.7,0.0,0.0,2.7,3.8,0.0,1,1.0000
5,Mei,2.8,0.0,5.8,0.0,0.0,5.8,6.9,0.0,1,1.0000
6,Jun,2.7,0.0,2.7,0.0,0.0,2.7,6.9,0.0,1,1.0000
7,Jul,2.8,0.0,8.0,0.0,0.0,8.0,12.1,0.0,1,1.0000
8,Agu,2.8,0.0,2.0,0.0,0.0,2.0,11.4,0.0,1,1.0000
9,Sep,2.7,0.0,6.0,0.0,0.0,6.0,14.7,0.0,1,1.0000
10,Okt,2.8,0.0,0.0,0.0,0.0,0.0,11.9,0.0,1,1.0000
11,Nov,2.7,0.0,2.2,0.0,0.0,2.2,11.4,0.0,1,1.0000
12,Des,2.8,0.0,1.6,0.0,0.0,1.6,10.2,0.0,1,1.0000
