periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,2.8,2.8,0.0,0.0,0.0,2.8,0.0,-0.0,0,1.0000
2,Feb,2.6,2.6,0.0,0.0,0.0,2.6,0.0,-0.0,0,1.0000
3,Mar,2.8,2.8,0.0,0.0,0.0,2.8,0.0,-0.0,0,1.0000
4,Apr,2.7,2.7,0.0,0.0,0.0,2.7,0.0,-0.0,0,1.0000
5,Mei,2.8,2.8,0.0,0.0,0.0,2.8,0.0,-0.0,0,1.0000
6,Jun,2.7,2.7,0.0,0.0,0.0,2.7,0.0,-0.0,0,1.0000
7,Jul,2.8,2.8,0.0,0.0,0.0,2.8,0.0,-0.0,0,1.0000
8,Agu,2.8,2.8,0.0,0.0,0.0,2.8,0.0,-0.0,0,1.0000
9,Sep,2.7,2.7,0.0,0.0,0.0,2.7,0.0,-0.0,0,1.0000
10,Okt,2.8,2.8,0.0,0.0,0.0,2.8,0.0,-0.0,0,1.0000
11,Nov,2.7,2.7,0.0,0.0,0.0,2.7,0.0,-0.0,0,1.0000
12,Des,2.8,2.8,0.0,0.0,0.0,2.8,0.0,0.0,0,1.0000
