periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,5435.9,0.0,7526.6,0.0,0.0,7526.6,2090.6,0.0,0,1.0000
2,Feb,5074.1,0.0,5036.0,0.0,0.0,5036.0,2052.5,0.0,0,1.0000
3,Mar,5425.4,0.0,10911.7,0.0,0.0,10911.7,7538.8,0.0,1,1.0000
4,Apr,5252.9,0.0,5252.9,0.0,0.0,5252.9,7538.8,0.0,1,1.0000
5,Mei,5423.4,0.0,11322.4,0.0,0.0,11322.4,13437.8,0.0,1,1.0000
6,Jun,5248.4,0.0,5248.4,0.0,0.0,5248.4,13437.8,0.0,1,1.0000
7,Jul,5423.3,0.0,15761.6,0.0,0.0,15761.6,23776.0,0.0,1,1.0000
8,Agu,5423.5,0.0,3914.2,0.0,0.0,3914.2,22266.6,0.0,1,1.0000
9,Sep,5248.4,0.0,11689.9,0.0,0.0,11689.9,28708.1,0.0,1,1.0000
10,Okt,5423.3,0.0,0.0,0.0,0.0,0.0,23284.8,0.0,1,1.0000
11,Nov,5248.4,0.0,4272.6,0.0,0.0,4272.6,22309.0,0.0,1,1.0000
12,Des,5423.3,0.0,3038.0,0.0,0.0,3038.0,19923.7,0.0,1,1.0000
