periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,5435.9,0.0,8543.3,0.0,0.0,8543.3,3107.4,0.0,0,1.0000
2,Feb,5074.1,0.0,5074.1,0.0,0.0,5074.1,3107.4,0.0,0,1.0000
3,Mar,5425.4,5425.4,0.0,0.0,0.0,5425.4,3107.4,0.0,0,1.0000
4,Apr,5252.9,5252.9,0.0,0.0,0.0,5252.9,3107.4,0.0,0,1.0000
5,Mei,5423.4,5423.4,0.0,0.0,0.0,5423.4,3107.4,0.0,0,1.0000
6,Jun,5248.4,5248.4,0.0,0.0,0.0,5248.4,3107.4,0.0,0,1.0000
7,Jul,5423.3,2911.7,2511.7,0.0,0.0,5423.3,3107.4,0.0,0,1.0000
8,Agu,5423.5,5423.5,0.0,0.0,0.0,5423.5,3107.4,0.0,0,1.0000
9,Sep,5248.4,5248.4,0.0,0.0,0.0,5248.4,3107.4,0.0,0,1.0000
10,Okt,5423.3,5423.3,0.0,0.0,0.0,5423.3,3107.4,0.0,0,1.0000
11,Nov,5248.4,0.0,5248.4,0.0,0.0,5248.4,3107.4,0.0,0,1.0000
12,Des,5423.3,0.0,6009.6,0.0,0.0,6009.6,3693.6,0.0,0,1.0000
