periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,76.0,38.0,76.0,0.0,0.0,114.0,38.0,0.0,1,1.0000
2,Feb,57.5,28.8,57.1,0.0,0.0,85.8,66.3,0.0,1,1.0000
3,Mar,16.4,8.2,16.4,0.0,0.0,24.7,74.6,0.0,1,1.0000
4,Apr,18.9,9.4,18.9,0.0,0.0,28.3,84.0,0.0,1,1.0000
5,Mei,14.9,7.3,14.5,0.0,0.0,21.8,90.8,0.0,1,1.0000
6,Jun,13.2,4.4,8.8,0.0,0.0,13.2,90.8,0.0,1,1.0000
7,Jul,12.0,4.0,8.0,0.0,0.0,12.0,90.8,0.0,1,1.0000
8,Agu,12.0,4.0,10.5,0.0,0.0,14.5,93.3,0.0,1,1.0000
9,Sep,12.1,3.2,6.5,0.0,0.0,9.7,90.8,0.0,1,1.0000
10,Okt,12.5,4.2,8.3,0.0,0.0,12.5,90.8,0.0,1,1.0000
11,Nov,14.4,5.3,9.1,0.0,0.0,14.4,90.8,0.0,1,1.0000
12,Des,12.5,5.9,6.6,0.0,0.0,12.5,90.8,0.0,1,1.0000
