periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,76.0,76.0,0.0,0.0,0.0,76.0,0.0,0.0,0,1.0000
2,Feb,57.5,57.5,0.0,0.0,0.0,57.5,0.0,0.0,0,1.0000
3,Mar,16.4,16.4,0.0,0.0,0.0,16.4,0.0,0.0,0,1.0000
4,Apr,18.9,18.9,0.0,0.0,0.0,18.9,0.0,0.0,0,1.0000
5,Mei,14.9,14.9,0.0,0.0,0.0,14.9,0.0,0.0,0,1.0000
6,Jun,13.2,13.2,0.0,0.0,0.0,13.2,0.0,0.0,0,1.0000
7,Jul,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0,1.0000
8,Agu,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0,1.0000
9,Sep,12.1,12.1,0.0,0.0,0.0,12.1,0.0,0.0,0,1.0000
10,Okt,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0,1.0000
11,Nov,14.4,14.4,0.0,0.0,0.0,14.4,0.0,0.0,0,1.0000
12,Des,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0,1.0000
