periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,6105.9,291.5,6561.7,0.0,0.0,6853.1,747.2,0.0,1.0000
2,Feb,5823.4,408.0,5779.6,0.0,0.0,6187.7,1111.5,0.0,1.0000
3,Mar,6214.1,1049.2,7514.3,0.0,0.0,8563.5,3460.9,0.0,1.0000
4,Apr,5978.6,2090.2,8560.0,0.0,0.0,10650.2,8132.5,0.0,1.0000
5,Mei,6006.7,2200.4,9130.2,0.0,0.0,11330.6,13456.4,0.0,1.0000
6,Jun,5721.6,1283.7,10216.2,0.0,0.0,11499.9,19234.6,0.0,1.0000
7,Jul,6128.1,778.7,7891.0,0.0,0.0,8669.7,21776.2,0.0,1.0000
8,Agu,6395.7,1245.6,5545.1,0.0,0.0,6790.7,22171.2,0.0,1.0000
9,Sep,5747.1,1039.3,9878.8,0.0,0.0,10918.1,27342.2,0.0,1.0000
10,Okt,5932.1,382.7,2212.4,0.0,0.0,2595.1,24005.2,0.0,1.0000
11,Nov,5704.2,565.8,5009.6,0.0,0.0,5575.4,23876.3,0.0,1.0000
12,Des,5997.9,582.9,3546.1,0.0,0.0,4129.0,22007.5,0.0,1.0000
