periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,6105.9,291.5,18919.9,0.0,0.0,19211.4,13105.5,0.0,1.0000
2,Feb,5823.4,0.0,5823.4,0.0,0.0,5823.4,13105.5,0.0,1.0000
3,Mar,6214.1,0.0,6214.1,0.0,0.0,6214.1,13105.5,0.0,1.0000
4,Apr,5978.6,0.0,5978.6,0.0,0.0,5978.6,13105.5,0.0,1.0000
5,Mei,6006.7,0.0,6006.7,0.0,0.0,6006.7,13105.5,0.0,1.0000
6,Jun,5721.6,0.0,6910.0,0.0,0.0,6910.0,14293.9,0.0,1.0000
7,Jul,6128.1,0.0,6128.1,0.0,0.0,6128.1,14293.9,0.0,1.0000
8,Agu,6395.7,0.0,6396.3,0.0,0.0,6396.3,14294.5,0.0,1.0000
9,Sep,5747.1,0.0,5747.1,0.0,0.0,5747.1,14294.5,0.0,1.0000
10,Okt,5932.1,0.0,11137.0,0.0,0.0,11137.0,19499.3,0.0,1.0000
11,Nov,5704.2,0.0,5922.1,0.0,0.0,5922.1,19717.2,0.0,1.0000
12,Des,5997.9,0.0,6785.7,0.0,0.0,6785.7,20505.0,0.0,1.0000
