periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,156708.2,3684.0,178450.1,0.0,0.0,182134.1,25425.8,0.0,1.0000
2,Feb,145849.2,5157.6,144753.5,0.0,0.0,149911.1,29487.7,0.0,1.0000
3,Mar,156844.0,13262.3,182520.2,0.0,0.0,195782.5,68426.2,0.0,1.0000
4,Apr,151634.4,26524.7,151634.4,0.0,0.0,178159.1,94950.8,0.0,1.0000
5,Mei,156544.1,28735.1,171210.1,0.0,0.0,199945.1,138351.8,0.0,1.0000
6,Jun,151550.0,16946.3,217734.9,0.0,0.0,234681.2,221483.0,0.0,1.0000
7,Jul,156976.3,11034.6,196657.8,0.0,0.0,207692.4,272199.1,0.0,1.0000
8,Agu,156872.5,20536.4,172225.0,0.0,0.0,192761.4,308088.0,0.0,1.0000
9,Sep,151526.0,22697.9,203018.4,0.0,0.0,225716.3,382278.3,0.0,1.0000
10,Okt,156643.1,13123.6,197871.9,0.0,0.0,210995.5,436630.7,0.0,1.0000
11,Nov,151623.2,7290.9,131640.9,0.0,0.0,138931.8,424250.3,310.9,0.9979
12,Des,156702.7,7290.9,87621.4,0.0,0.0,94912.3,370796.8,8336.9,0.9468
