periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,156708.2,3532.3,191968.2,0.0,0.0,195500.5,38792.2,0.0,1.0000
2,Feb,145849.2,0.0,145849.2,0.0,0.0,145849.2,38792.2,0.0,1.0000
3,Mar,156844.0,0.0,156844.0,0.0,0.0,156844.0,38792.2,0.0,1.0000
4,Apr,151634.4,5571.9,146062.5,0.0,0.0,151634.4,38792.2,0.0,1.0000
5,Mei,156544.1,7576.5,148967.6,0.0,0.0,156544.1,38792.2,0.0,1.0000
6,Jun,151550.0,0.0,157773.1,0.0,0.0,157773.1,45015.4,0.0,1.0000
7,Jul,156976.3,0.0,156976.3,0.0,0.0,156976.3,45015.4,0.0,1.0000
8,Agu,156872.5,0.0,156878.5,0.0,0.0,156878.5,45021.4,0.0,1.0000
9,Sep,151526.0,565.3,150960.7,0.0,0.0,151526.0,45021.4,0.0,1.0000
10,Okt,156643.1,0.0,158148.9,0.0,0.0,158148.9,46527.2,0.0,1.0000
11,Nov,151623.2,0.0,151623.2,0.0,0.0,151623.2,46527.2,0.0,1.0000
12,Des,156702.7,0.0,166027.5,0.0,0.0,166027.5,55852.0,0.0,1.0000
