periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,6730.4,6.9,10523.2,0.0,0.0,10530.1,3799.8,0.0,1.0000
2,Feb,6242.8,2.0,6195.9,0.0,0.0,6197.9,3754.9,0.0,1.0000
3,Mar,6722.8,2.5,8583.7,0.0,0.0,8586.1,5618.2,0.0,1.0000
4,Apr,6510.9,2.1,6616.7,0.0,0.0,6618.9,5726.2,0.0,1.0000
5,Mei,6724.0,2.0,9393.2,0.0,0.0,9395.3,8397.4,0.0,1.0000
6,Jun,6509.0,1.8,9244.5,0.0,0.0,9246.4,11134.8,0.0,1.0000
7,Jul,6721.1,1.3,8943.5,0.0,0.0,8944.8,13358.5,0.0,1.0000
8,Agu,6721.1,1.5,7124.6,0.0,0.0,7126.1,13763.5,0.0,1.0000
9,Sep,6504.9,1.0,8395.1,0.0,0.0,8396.1,15654.7,0.0,1.0000
10,Okt,6720.8,1.3,7643.6,0.0,0.0,7645.0,16578.9,0.0,1.0000
11,Nov,6505.2,1.4,6534.5,0.0,0.0,6535.9,16609.6,0.0,1.0000
12,Des,6720.4,1.8,3767.6,0.0,0.0,3769.4,13658.6,0.0,1.0000
