periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,6730.4,6.9,15628.4,0.0,0.0,15635.3,8904.9,0.0,1.0000
2,Feb,6242.8,0.0,6242.8,0.0,0.0,6242.8,8904.9,0.0,1.0000
3,Mar,6722.8,0.0,6722.8,0.0,0.0,6722.8,8904.9,0.0,1.0000
4,Apr,6510.9,0.0,6510.9,0.0,0.0,6510.9,8904.9,0.0,1.0000
5,Mei,6724.0,0.0,6724.0,0.0,0.0,6724.0,8904.9,0.0,1.0000
6,Jun,6509.0,0.0,7761.9,0.0,0.0,7761.9,10157.9,0.0,1.0000
7,Jul,6721.1,0.0,6721.1,0.0,0.0,6721.1,10157.9,0.0,1.0000
8,Agu,6721.1,0.0,6721.6,0.0,0.0,6721.6,10158.4,0.0,1.0000
9,Sep,6504.9,0.0,6504.9,0.0,0.0,6504.9,10158.4,0.0,1.0000
10,Okt,6720.8,0.0,7448.7,0.0,0.0,7448.7,10886.3,0.0,1.0000
11,Nov,6505.2,0.0,6260.1,0.0,0.0,6260.1,10641.2,0.0,1.0000
12,Des,6720.4,0.0,7320.1,0.0,0.0,7320.1,11241.0,0.0,1.0000
