periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,297.8,1.2,341.9,0.0,0.0,343.1,45.3,0.0,1.0000
2,Feb,279.1,0.0,279.1,0.0,0.0,279.1,45.3,0.0,1.0000
3,Mar,297.8,0.0,297.8,0.0,0.0,297.8,45.3,0.0,1.0000
4,Apr,289.5,0.0,289.5,0.0,0.0,289.5,45.3,0.0,1.0000
5,Mei,298.7,0.0,298.7,0.0,0.0,298.7,45.3,0.0,1.0000
6,Jun,289.2,0.0,320.9,0.0,0.0,320.9,77.0,0.0,1.0000
7,Jul,298.5,0.0,298.5,0.0,0.0,298.5,77.0,0.0,1.0000
8,Agu,298.6,0.0,299.2,0.0,0.0,299.2,77.6,0.0,1.0000
9,Sep,289.2,0.0,289.2,0.0,0.0,289.2,77.6,0.0,1.0000
10,Okt,298.3,0.0,342.6,0.0,0.0,342.6,121.9,0.0,1.0000
11,Nov,288.9,0.0,265.1,0.0,0.0,265.1,98.1,0.0,1.0000
12,Des,291.1,0.0,278.4,0.0,0.0,278.4,85.4,0.0,1.0000
