periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,2724.1,284.8,3840.8,0.0,0.0,4125.5,1401.4,0.0,1.0000
2,Feb,2512.2,397.6,2493.3,0.0,0.0,2890.9,1780.2,0.0,1.0000
3,Mar,2709.6,625.3,3519.4,0.0,0.0,4144.7,3215.2,0.0,1.0000
4,Apr,2660.2,735.2,3792.8,0.0,0.0,4528.0,5083.0,0.0,1.0000
5,Mei,2730.1,745.5,3456.5,0.0,0.0,4202.0,6554.9,0.0,1.0000
6,Jun,2638.0,385.6,3471.4,0.0,0.0,3857.1,7773.9,0.0,1.0000
7,Jul,2704.4,325.3,2545.5,0.0,0.0,2870.8,7940.2,0.0,1.0000
8,Agu,2709.1,469.0,2368.7,0.0,0.0,2837.7,8068.8,0.0,1.0000
9,Sep,2618.7,358.2,3731.7,0.0,0.0,4089.9,9540.0,0.0,1.0000
10,Okt,2789.2,282.5,2297.4,0.0,0.0,2579.9,9330.7,0.0,1.0000
11,Nov,2653.5,411.7,2108.6,0.0,0.0,2520.3,9197.5,0.0,1.0000
12,Des,2769.3,528.8,1516.8,0.0,0.0,2045.6,8473.8,0.0,1.0000
