periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,2724.1,284.8,5119.9,0.0,0.0,5404.6,2680.6,0.0,1.0000
2,Feb,2512.2,0.0,2512.2,0.0,0.0,2512.2,2680.6,0.0,1.0000
3,Mar,2709.6,0.0,2709.6,0.0,0.0,2709.6,2680.6,0.0,1.0000
4,Apr,2660.2,0.0,2660.2,0.0,0.0,2660.2,2680.6,0.0,1.0000
5,Mei,2730.1,0.0,2730.1,0.0,0.0,2730.1,2680.6,0.0,1.0000
6,Jun,2638.0,0.0,3044.7,0.0,0.0,3044.7,3087.2,0.0,1.0000
7,Jul,2704.4,0.0,2704.4,0.0,0.0,2704.4,3087.2,0.0,1.0000
8,Agu,2709.1,0.0,2709.3,0.0,0.0,2709.3,3087.5,0.0,1.0000
9,Sep,2618.7,0.0,2618.7,0.0,0.0,2618.7,3087.5,0.0,1.0000
10,Okt,2789.2,0.0,2797.0,0.0,0.0,2797.0,3095.3,0.0,1.0000
11,Nov,2653.5,0.0,2704.5,0.0,0.0,2704.5,3146.3,0.0,1.0000
12,Des,2769.3,0.0,2858.3,0.0,0.0,2858.3,3235.3,0.0,1.0000
