periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,31664.5,203.1,41111.7,0.0,0.0,41314.8,9650.4,0.0,1.0000
2,Feb,29589.4,252.4,29367.1,0.0,0.0,29619.6,9736.7,56.2,0.9981
3,Mar,31582.2,562.0,45396.9,0.0,0.0,45958.9,24113.4,0.0,1.0000
4,Apr,30575.5,1108.3,30575.5,0.0,0.0,31683.8,25221.7,0.0,1.0000
5,Mei,31583.2,1197.1,49750.6,0.0,0.0,50947.7,44586.2,0.0,1.0000
6,Jun,30598.8,728.9,30598.1,0.0,0.0,31327.0,45314.4,0.0,1.0000
7,Jul,31605.5,298.4,57156.4,0.0,0.0,57454.8,71163.7,0.0,1.0000
8,Agu,31577.3,654.5,30605.6,0.0,0.0,31260.2,70846.6,0.0,1.0000
9,Sep,30561.7,522.2,47314.7,0.0,0.0,47836.9,88121.8,0.0,1.0000
10,Okt,31569.8,205.2,17910.2,0.0,0.0,18115.3,74667.3,0.0,1.0000
11,Nov,30553.6,286.6,25097.5,0.0,0.0,25384.2,69622.0,124.2,0.9959
12,Des,31574.5,315.4,17686.2,0.0,0.0,18001.6,59072.8,3023.8,0.9042
