periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,31664.5,903.9,46949.1,0.0,0.0,47852.9,16188.5,0.0,1.0000
2,Feb,29589.4,7028.7,22560.7,0.0,0.0,29589.4,16188.5,0.0,1.0000
3,Mar,31582.2,18073.7,13508.5,0.0,0.0,31582.2,16188.5,0.0,1.0000
4,Apr,30575.5,30575.5,0.0,0.0,0.0,30575.5,16188.5,0.0,1.0000
5,Mei,31583.2,31583.2,0.0,0.0,0.0,31583.2,16188.5,0.0,1.0000
6,Jun,30598.8,23094.2,7654.2,0.0,0.0,30748.4,16338.1,0.0,1.0000
7,Jul,31605.5,15061.4,16544.1,0.0,0.0,31605.5,16338.1,0.0,1.0000
8,Agu,31577.3,28114.7,3462.6,0.0,0.0,31577.3,16338.1,0.0,1.0000
9,Sep,30561.7,30561.7,0.0,0.0,0.0,30561.7,16338.1,0.0,1.0000
10,Okt,31569.8,18073.7,14645.7,0.0,0.0,32719.4,17487.6,0.0,1.0000
11,Nov,30553.6,10041.0,20512.7,0.0,0.0,30553.6,17487.6,0.0,1.0000
12,Des,31574.5,10041.0,24098.2,0.0,0.0,34139.1,20052.1,0.0,1.0000
