provinsi,demand_tahunan,lokal_initial,lokal_optimized,impor_initial,impor_optimized,shortage_initial,shortage_optimized,service_initial_persen,service_optimized_persen
Aceh,346.8,155.4,346.8,307.0,0.0,0.0,0.0,100.00,100.00
Sumatera Utara,272.5,122.6,272.5,240.7,0.0,0.0,0.0,100.00,100.00
Sumatera Barat,32.7,0.0,32.7,42.9,0.0,0.0,0.0,100.00,100.00
Riau,121795.1,495.2,109261.2,118755.1,18137.0,2544.8,0.0,97.91,100.00
Jambi,20855.4,3451.2,13981.8,24139.8,8074.7,0.0,0.0,100.00,100.00
Sumatera Selatan,64050.5,0.0,40357.1,83974.2,27387.1,0.0,0.0,100.00,100.00
Bengkulu,69620.8,0.0,29973.0,91116.7,43659.1,0.0,0.0,100.00,100.00
Lampung,75191.0,2109.8,23738.2,81731.6,55029.0,0.0,0.0,100.00,100.00
Kep. Bangka Belitung,6732.5,0.0,1673.9,8783.2,5483.0,0.0,0.0,100.00,100.00
Kepulauan Riau,14138.8,0.0,3515.4,13479.5,12165.9,659.3,0.0,95.34,100.00
