country,port,month,volume_ton
USA,Belawan,Jan,15051.7
USA,Belawan,Feb,15168.5
USA,Belawan,Mar,11539.3
USA,Belawan,Apr,11164.6
USA,Belawan,Mei,18724.9
USA,Belawan,Jun,15647.0
USA,Belawan,Jul,14255.6
USA,Belawan,Agu,19911.9
USA,Belawan,Sep,16532.6
USA,Belawan,Okt,17365.5
USA,Belawan,Nov,13363.3
USA,Belawan,Des,15169.3
USA,Panjang,Jan,21088.0
USA,Panjang,Feb,235.5
USA,Panjang,Mar,42282.3
USA,Panjang,Apr,1820.7
USA,Panjang,Mei,28428.6
USA,Panjang,Jul,26750.2
USA,Panjang,Sep,24727.5
USA,Panjang,Okt,482.4
USA,Panjang,Nov,23506.4
USA,Panjang,Des,559.7
USA,Tanjung Priok,Jan,45365.5
USA,Tanjung Priok,Feb,23631.7
USA,Tanjung Priok,Mar,25979.7
USA,Tanjung Priok,Apr,47152.5
USA,Tanjung Priok,Mei,34164.9
USA,Tanjung Priok,Jun,39281.5
USA,Tanjung Priok,Jul,33691.5
USA,Tanjung Priok,Agu,39269.4
USA,Tanjung Priok,Sep,25520.5
USA,Tanjung Priok,Okt,19445.5
USA,Tanjung Priok,Nov,19059.9
USA,Tanjung Priok,Des,19359.0
USA,Tanjung Emas,Jan,37387.2
USA,Tanjung Emas,Feb,31499.4
USA,Tanjung Emas,Mar,21204.0
USA,Tanjung Emas,Apr,29784.3
USA,Tanjung Emas,Mei,35609.1
USA,Tanjung Emas,Jun,56046.5
USA,Tanjung Emas,Jul,54163.4
USA,Tanjung Emas,Agu,56657.6
USA,Tanjung Emas,Sep,29461.6
USA,Tanjung Emas,Okt,53922.9
USA,Tanjung Emas,Nov,12193.3
USA,Tanjung Emas,Des,22934.0
USA,Gresik,Apr,26000.0
USA,Tanjung Perak,Jan,63926.5
USA,Tanjung Perak,Feb,34073.1
USA,Tanjung Perak,Mar,89913.1
USA,Tanjung Perak,Apr,38111.9
USA,Tanjung Perak,Mei,47351.5
USA,Tanjung Perak,Jun,86967.6
USA,Tanjung Perak,Jul,60602.6
USA,Tanjung Perak,Agu,61029.7
USA,Tanjung Perak,Sep,95642.8
USA,Tanjung Perak,Okt,74205.0
USA,Tanjung Perak,Nov,40435.3
USA,Tanjung Perak,Des,35853.3
USA,Cigading,Jan,30000.0
USA,Cigading,Feb,32248.5
USA,Cigading,Mar,43538.9
USA,Cigading,Mei,45187.7
USA,Cigading,Jul,58238.5
USA,Cigading,Sep,50000.0
USA,Cigading,Okt,37000.0
USA,Cigading,Nov,16000.0
USA,Cilacap,Feb,14000.0
USA,Cilacap,Apr,18000.0
USA,Cilacap,Jun,17000.0
USA,Cilacap,Agu,11000.0
USA,Cilacap,Nov,20000.0
USA,Banyuwangi,Feb,10000.0
USA,Banyuwangi,Apr,13097.2
USA,Banyuwangi,Jun,12000.0
USA,Banyuwangi,Sep,12000.0
USA,Banyuwangi,Nov,11497.4
USA,Pontianak,Feb,681.4
USA,Pontianak,Mar,495.9
USA,Pontianak,Mei,418.6
USA,Pontianak,Jun,312.6
USA,Pontianak,Jul,338.5
USA,Pontianak,Agu,781.6
USA,Pontianak,Sep,625.3
USA,Pontianak,Okt,104.3
Kanada,Belawan,Jan,1225.1
Kanada,Belawan,Feb,2239.7
Kanada,Belawan,Mar,1465.7
Kanada,Belawan,Apr,2608.6
Kanada,Belawan,Mei,2771.7
Kanada,Belawan,Jun,1290.2
Kanada,Belawan,Jul,1331.2
Kanada,Belawan,Agu,581.6
