port,province,annual_volume_ton
Belawan,Sumatera Barat,0.0
Belawan,Riau,55.5
Belawan,Sumatera Selatan,0.0
Belawan,Lampung,0.0
Belawan,Kepulauan Riau,2678.6
Belawan,Bali,7746.5
Belawan,Nusa Tenggara Barat,2.5
Belawan,Kalimantan Barat,2.6
Belawan,Kalimantan Selatan,4.3
Belawan,Sulawesi Utara,18.6
Belawan,Sulawesi Tengah,32.2
Belawan,Sulawesi Selatan,14.0
Belawan,Sulawesi Tenggara,934.9
Belawan,Gorontalo,430.7
Belawan,Sulawesi Barat,1366.7
Panjang,Lampung,54708.0
Panjang,Jawa Barat,4320.6
Panjang,Nusa Tenggara Barat,1030.0
Panjang,Nusa Tenggara Timur,767.4
Panjang,Kalimantan Barat,6513.1
Panjang,Kalimantan Timur,10244.6
Panjang,Kalimantan Utara,656.5
Panjang,Sulawesi Utara,42.9
Panjang,Sulawesi Tengah,34.7
Panjang,Sulawesi Selatan,25.2
Panjang,Sulawesi Tenggara,2418.5
Panjang,Gorontalo,1005.2
Batu Ampar,Riau,3220.4
Batu Ampar,Kepulauan Riau,6600.1
Batu Ampar,Kalimantan Barat,589.6
Tanjung Priok,DKI Jakarta,211283.3
Tanjung Priok,Jawa Barat,394686.2
Tanjung Emas,Jawa Tengah,372139.3
Tanjung Emas,DI Yogyakarta,82845.1
Tanjung Emas,Kalimantan Utara,506.4
Gresik,Kalimantan Timur,11352.2
Gresik,Sulawesi Utara,53.5
Gresik,Papua Selatan,3.5
Gresik,Papua Pegunungan,64.1
Tanjung Perak,Jawa Timur,717719.6
Tanjung Perak,Bali,7687.9
Tanjung Perak,Nusa Tenggara Barat,10640.5
Tanjung Perak,Nusa Tenggara Timur,1067.8
Tanjung Perak,Kalimantan Tengah,15459.3
Tanjung Perak,Kalimantan Selatan,61.5
Tanjung Perak,Kalimantan Timur,32372.6
Tanjung Perak,Sulawesi Utara,16.6
Tanjung Perak,Sulawesi Tengah,24.2
Tanjung Perak,Sulawesi Selatan,27.4
Tanjung Perak,Sulawesi Tenggara,2788.8
Tanjung Perak,Gorontalo,761.0
Tanjung Perak,Sulawesi Barat,15233.2
Tanjung Perak,Maluku,3.9
Tanjung Perak,Maluku Utara,3266.9
Tanjung Perak,Papua Barat,9.9
Tanjung Perak,Papua Barat Daya,4.0
Tanjung Perak,Papua,6.0
Tanjung Perak,Papua Selatan,0.1
Tanjung Perak,Papua Tengah,1.2
Tanjung Perak,Papua Pegunungan,22.2
Cigading,Riau,14861.1
Cigading,Jambi,8074.7
Cigading,Sumatera Selatan,27387.1
Cigading,Bengkulu,43659.1
Cigading,Lampung,321.0
Cigading,Kep. Bangka Belitung,5483.0
Cigading,Kepulauan Riau,98.2
Cigading,Banten,105085.7
Cilacap,Papua Selatan,1.8
Banyuwangi,Bali,21871.4
Banyuwangi,Nusa Tenggara Barat,39502.1
Banyuwangi,Nusa Tenggara Timur,1653.0
Banyuwangi,Kalimantan Utara,2325.0
Banyuwangi,Sulawesi Utara,78.6
Banyuwangi,Sulawesi Tengah,83.3
Banyuwangi,Sulawesi Selatan,95.8
Banyuwangi,Sulawesi Tenggara,6538.2
Banyuwangi,Gorontalo,2755.0
Banyuwangi,Maluku,21.7
Banyuwangi,Papua Barat,59.5
Banyuwangi,Papua Barat Daya,23.8
Banyuwangi,Papua,35.2
Banyuwangi,Papua Selatan,3.0
Banyuwangi,Papua Tengah,7.0
Banyuwangi,Papua Pegunungan,67.2
Pontianak,Kepulauan Riau,2788.9
Pontianak,Kalimantan Barat,10479.5
Pontianak,Sulawesi Utara,35.0
Pontianak,Gorontalo,355.1
