province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Aceh,Jan,28.7,14.3,28.7,0.0,0.0,14.3,0.0,0
Aceh,Feb,25.3,12.6,25.1,0.0,0.0,26.8,0.0,0
Aceh,Mar,22.2,11.1,22.2,0.0,0.0,37.9,0.0,1
Aceh,Apr,26.9,13.5,26.9,0.0,0.0,51.3,0.0,1
Aceh,Mei,27.8,13.9,27.8,0.0,0.0,65.2,0.0,1
Aceh,Jun,62.1,31.1,62.1,0.0,0.0,96.3,0.0,1
Aceh,Jul,52.5,23.9,47.9,0.0,0.0,115.6,0.0,1
Aceh,Agu,24.7,8.2,21.4,0.0,0.0,120.6,0.0,1
Aceh,Sep,26.5,7.2,14.3,0.0,0.0,115.6,0.0,1
Aceh,Okt,16.9,5.6,11.3,0.0,0.0,115.6,0.0,1
Aceh,Nov,16.4,6.0,10.4,0.0,0.0,115.6,0.0,1
Aceh,Des,16.9,8.0,8.9,0.0,0.0,115.6,0.0,1
Sumatera Utara,Jan,76.0,38.0,76.0,0.0,0.0,38.0,0.0,1
Sumatera Utara,Feb,57.5,28.8,57.1,0.0,0.0,66.3,0.0,1
Sumatera Utara,Mar,16.4,8.2,16.4,0.0,0.0,74.6,0.0,1
Sumatera Utara,Apr,18.9,9.4,18.9,0.0,0.0,84.0,0.0,1
Sumatera Utara,Mei,14.9,7.3,14.5,0.0,0.0,90.8,0.0,1
Sumatera Utara,Jun,13.2,4.4,8.8,0.0,0.0,90.8,0.0,1
Sumatera Utara,Jul,12.0,4.0,8.0,0.0,0.0,90.8,0.0,1
Sumatera Utara,Agu,12.0,4.0,10.5,0.0,0.0,93.3,0.0,1
Sumatera Utara,Sep,12.1,3.2,6.5,0.0,0.0,90.8,0.0,1
Sumatera Utara,Okt,12.5,4.2,8.3,0.0,0.0,90.8,0.0,1
Sumatera Utara,Nov,14.4,5.3,9.1,0.0,0.0,90.8,0.0,1
Sumatera Utara,Des,12.5,5.9,6.6,0.0,0.0,90.8,0.0,1
Sumatera Barat,Jan,2.8,0.0,3.8,0.0,0.0,1.1,0.0,0
Sumatera Barat,Feb,2.6,0.0,2.6,0.0,0.0,1.0,0.0,0
Sumatera Barat,Mar,2.8,0.0,5.6,0.0,0.0,3.8,0.0,1
Sumatera Barat,Apr,2.7,0.0,2.7,0.0,0.0,3.8,0.0,1
Sumatera Barat,Mei,2.8,0.0,5.8,0.0,0.0,6.9,0.0,1
Sumatera Barat,Jun,2.7,0.0,2.7,0.0,0.0,6.9,0.0,1
Sumatera Barat,Jul,2.8,0.0,8.0,0.0,0.0,12.1,0.0,1
Sumatera Barat,Agu,2.8,0.0,2.0,0.0,0.0,11.4,0.0,1
Sumatera Barat,Sep,2.7,0.0,6.0,0.0,0.0,14.7,0.0,1
Sumatera Barat,Okt,2.8,0.0,0.0,0.0,0.0,11.9,0.0,1
Sumatera Barat,Nov,2.7,0.0,2.2,0.0,0.0,11.4,0.0,1
Sumatera Barat,Des,2.8,0.0,1.6,0.0,0.0,10.2,0.0,1
Riau,Jan,10316.0,10.3,10316.0,0.0,0.0,10.3,0.0,0
Riau,Feb,9650.4,14.4,9577.9,0.0,0.0,0.0,47.7,0
Riau,Mar,10316.0,37.1,10316.0,0.0,0.0,37.1,0.0,0
Riau,Apr,9983.2,74.3,9983.2,0.0,0.0,111.4,0.0,0
Riau,Mei,10316.0,80.5,10316.2,0.0,0.0,192.1,0.0,0
Riau,Jun,9983.2,47.5,9985.3,0.0,0.0,241.6,0.0,0
Riau,Jul,10316.0,30.9,10321.3,0.0,0.0,277.9,0.0,0
Riau,Agu,10316.0,57.8,13209.9,0.0,0.0,3229.6,0.0,0
Riau,Sep,9983.2,64.0,9992.0,0.0,0.0,3302.4,0.0,0
Riau,Okt,10316.0,37.1,10321.3,0.0,0.0,3344.8,0.0,0
Riau,Nov,9983.2,20.6,8637.3,0.0,0.0,2019.5,0.0,0
Riau,Des,10316.0,20.6,5778.7,0.0,0.0,0.0,2497.1,0
Jambi,Jan,1766.4,96.5,2445.7,0.0,0.0,775.8,0.0,0
Jambi,Feb,1652.0,135.1,1639.6,0.0,0.0,898.5,0.0,0
Jambi,Mar,1766.0,347.3,3551.8,0.0,0.0,3031.6,0.0,1
