province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Aceh,Jan,28.7,28.7,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Feb,25.3,25.3,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Mar,22.2,22.2,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Apr,26.9,26.9,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Mei,27.8,27.8,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Jun,62.1,62.1,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Jul,52.5,52.5,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Agu,24.7,24.7,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Sep,26.5,26.5,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Okt,16.9,16.9,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Nov,16.4,16.4,0.0,0.0,0.0,0.0,-0.0,0
Aceh,Des,16.9,16.9,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Utara,Jan,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Feb,57.5,57.5,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Mar,16.4,16.4,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Apr,18.9,18.9,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Mei,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Jun,13.2,13.2,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Jul,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Agu,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Sep,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Okt,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Nov,14.4,14.4,0.0,0.0,0.0,0.0,0.0,0
Sumatera Utara,Des,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0
Sumatera Barat,Jan,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Feb,2.6,2.6,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Mar,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Apr,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Mei,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Jun,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Jul,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Agu,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Sep,2.7,2.7,0.0,0.0,0.0,0.0,-0.0,0
Sumatera Barat,Okt,2.8,2.8,0.0,0.0,0.0,0.0,-0.0,0
