province,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,total_supply_ton,shortage_ton,service_rate,avg_inventory_ton,months_safe_stock
Aceh,346.8,155.4,307.0,0.0,0.0,462.4,0.0,1.0000,82.5,10
Sumatera Utara,272.5,122.6,240.7,0.0,0.0,363.3,0.0,1.0000,82.7,12
Sumatera Barat,32.7,0.0,42.9,0.0,0.0,42.9,0.0,1.0000,7.9,10
Riau,121795.1,495.2,118755.1,0.0,0.0,119250.3,2544.8,0.9791,1063.9,0
Jambi,20855.4,3451.2,24139.8,0.0,0.0,27591.0,0.0,1.0000,5541.2,10
Sumatera Selatan,64050.5,0.0,83974.2,0.0,0.0,83974.2,0.0,1.0000,15530.4,10
Bengkulu,69620.8,0.0,91116.7,0.0,0.0,91116.7,0.0,1.0000,16918.5,10
Lampung,75191.0,2109.8,81731.6,0.0,0.0,83841.4,0.0,1.0000,8465.4,8
Kep. Bangka Belitung,6732.5,0.0,8783.2,0.0,0.0,8783.2,0.0,1.0000,1642.7,10
Kepulauan Riau,14138.8,0.0,13479.5,0.0,0.0,13479.5,659.3,0.9534,7.9,0
DKI Jakarta,223163.8,0.0,214516.0,0.0,0.0,214516.0,8647.8,0.9612,1547.4,0
Jawa Barat,395766.7,36011.5,410582.5,0.0,0.0,446594.0,0.0,1.0000,31216.2,5
Jawa Tengah,361885.8,62031.7,391673.8,0.0,0.0,453705.5,0.0,1.0000,56583.2,8
DI Yogyakarta,81421.8,7282.1,95363.6,0.0,0.0,102645.7,0.0,1.0000,12878.8,7
Jawa Timur,692927.6,69656.6,791369.8,0.0,0.0,861026.4,0.0,1.0000,102018.2,7
Banten,94308.0,1302.4,131832.7,0.0,0.0,133135.1,0.0,1.0000,26786.9,10
Bali,28953.9,3034.2,34697.1,0.0,0.0,37731.3,0.0,1.0000,5628.0,8
Nusa Tenggara Barat,39918.4,8238.0,43980.1,0.0,0.0,52218.0,0.0,1.0000,9208.9,9
Nusa Tenggara Timur,2883.1,645.9,3167.6,0.0,0.0,3813.5,0.0,1.0000,773.3,10
Kalimantan Barat,14686.7,0.0,16899.5,0.0,0.0,16899.5,0.0,1.0000,1744.5,8
Kalimantan Tengah,14924.6,0.0,17184.8,0.0,0.0,17184.8,0.0,1.0000,1412.2,7
Kalimantan Selatan,62.3,25.5,57.6,0.0,0.0,83.1,0.0,1.0000,18.1,12
Kalimantan Timur,46670.0,0.0,54973.7,0.0,0.0,54973.7,0.0,1.0000,6860.5,8
Kalimantan Utara,2989.6,0.0,3850.8,0.0,0.0,3850.8,0.0,1.0000,635.9,9
Sulawesi Utara,218.3,0.0,261.1,0.0,0.0,261.1,0.0,1.0000,32.2,8
Sulawesi Tengah,148.8,54.9,143.5,0.0,0.0,198.3,0.0,1.0000,41.4,12
Sulawesi Selatan,144.7,55.9,137.1,0.0,0.0,193.0,0.0,1.0000,41.9,11
Sulawesi Tenggara,10971.1,3795.2,10833.4,0.0,0.0,14628.5,0.0,1.0000,3033.7,11
Gorontalo,4681.2,1132.3,4994.9,0.0,0.0,6127.1,0.0,1.0000,1203.5,10
Sulawesi Barat,16054.5,511.2,18773.0,0.0,0.0,19284.3,0.0,1.0000,2177.4,7
Maluku,22.9,0.0,29.5,0.0,0.0,29.5,0.0,1.0000,4.9,9
Maluku Utara,3234.7,103.6,3781.0,0.0,0.0,3884.5,0.0,1.0000,438.0,7
Papua Barat,59.5,0.0,76.7,0.0,0.0,76.7,0.0,1.0000,12.7,9
Papua Barat Daya,23.8,0.0,30.7,0.0,0.0,30.7,0.0,1.0000,5.1,9
Papua,35.3,0.0,45.5,0.0,0.0,45.5,0.0,1.0000,7.5,9
Papua Selatan,7.1,0.0,8.5,0.0,0.0,8.5,0.0,1.0000,1.3,9
Papua Tengah,7.1,0.0,8.8,0.0,0.0,8.8,0.0,1.0000,1.5,9
Papua Pegunungan,126.3,0.0,163.7,0.0,0.0,163.7,0.0,1.0000,25.1,9
